2025-10-12 21:42:24.028 [http-nio-8084-exec-10] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: GET_ALL_BOOKS | Entity: Book | Timestamp: 1760294544028
2025-10-12 21:42:24.031 [http-nio-8084-exec-10] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy146.findAll | Entity: repository | Timestamp: 1760294544031
2025-10-12 21:42:24.032 [http-nio-8084-exec-10] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: BookServiceImpl.getAllBooks | Entity: service | Timestamp: 1760294544032
2025-10-12 21:42:24.806 [http-nio-8084-exec-1] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294544806
2025-10-12 21:42:24.808 [http-nio-8084-exec-1] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294544808
2025-10-12 21:42:24.810 [http-nio-8084-exec-1] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy146.findByName | Entity: repository | Timestamp: 1760294544810
2025-10-12 21:42:24.811 [http-nio-8084-exec-1] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: BookServiceImpl.getBookByName | Entity: service | Timestamp: 1760294544811
2025-10-12 21:42:27.187 [http-nio-8084-exec-2] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294547187
2025-10-12 21:42:27.189 [http-nio-8084-exec-2] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294547189
2025-10-12 21:42:27.904 [http-nio-8084-exec-3] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294547904
2025-10-12 21:42:27.905 [http-nio-8084-exec-3] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294547905
2025-10-12 21:42:27.906 [http-nio-8084-exec-3] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: GET_ALL_BOOKS | Entity: Book | Timestamp: 1760294547906
2025-10-12 21:42:27.909 [http-nio-8084-exec-3] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy146.findAll | Entity: repository | Timestamp: 1760294547909
2025-10-12 21:42:27.910 [http-nio-8084-exec-3] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: BookServiceImpl.getAllBooks | Entity: service | Timestamp: 1760294547910
2025-10-12 21:42:29.077 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294549077
2025-10-12 21:42:29.078 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294549078
2025-10-12 21:42:29.080 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy146.findByName | Entity: repository | Timestamp: 1760294549080
2025-10-12 21:42:29.081 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: BookServiceImpl.getBookByName | Entity: service | Timestamp: 1760294549081
2025-10-12 21:42:29.796 [http-nio-8084-exec-5] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294549796
2025-10-12 21:42:29.797 [http-nio-8084-exec-5] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294549797
2025-10-12 21:42:29.798 [http-nio-8084-exec-5] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: GET_ALL_BOOKS | Entity: Book | Timestamp: 1760294549798
2025-10-12 21:42:29.800 [http-nio-8084-exec-5] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy146.findAll | Entity: repository | Timestamp: 1760294549800
2025-10-12 21:42:29.802 [http-nio-8084-exec-5] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: BookServiceImpl.getAllBooks | Entity: service | Timestamp: 1760294549802
2025-10-12 21:42:30.390 [http-nio-8084-exec-6] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294550390
2025-10-12 21:42:30.392 [http-nio-8084-exec-6] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294550392
2025-10-12 21:42:30.393 [http-nio-8084-exec-6] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: GET_ALL_BOOKS | Entity: Book | Timestamp: 1760294550393
