2025-10-12 21:42:19.138 [http-nio-8084-exec-7] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy146.findAll | Duration: 3ms | Timestamp: 1760294539138
2025-10-12 21:42:19.139 [http-nio-8084-exec-7] INFO  PERFORMANCE - PERFORMANCE | Operation: BookServiceImpl.getAllBooks | Duration: 4ms | Timestamp: 1760294539139
2025-10-12 21:42:19.140 [http-nio-8084-exec-7] INFO  PERFORMANCE - PERFORMANCE | Operation: OrderController.viewCart | Duration: 5ms | Timestamp: 1760294539140
2025-10-12 21:42:19.757 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 3ms | Timestamp: 1760294539757
2025-10-12 21:42:19.759 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 2ms | Timestamp: 1760294539759
2025-10-12 21:42:19.761 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy146.findByName | Duration: 1ms | Timestamp: 1760294539761
2025-10-12 21:42:19.761 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: BookServiceImpl.getBookByName | Duration: 1ms | Timestamp: 1760294539761
2025-10-12 21:42:19.763 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 1ms | Timestamp: 1760294539763
2025-10-12 21:42:19.764 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientServiceImpl.getClientByEmail | Duration: 2ms | Timestamp: 1760294539764
2025-10-12 21:42:19.766 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy146.findByName | Duration: 2ms | Timestamp: 1760294539766
2025-10-12 21:42:19.766 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: BookServiceImpl.getBookByName | Duration: 2ms | Timestamp: 1760294539766
2025-10-12 21:42:19.768 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 1ms | Timestamp: 1760294539768
2025-10-12 21:42:19.769 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy146.findByName | Duration: 1ms | Timestamp: 1760294539769
2025-10-12 21:42:19.780 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy145.save | Duration: 9ms | Timestamp: 1760294539780
2025-10-12 21:42:19.783 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: OrderServiceImpl.addOrder | Duration: 16ms | Timestamp: 1760294539783
2025-10-12 21:42:19.791 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 3ms | Timestamp: 1760294539791
2025-10-12 21:42:19.791 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.save | Duration: 0ms | Timestamp: 1760294539791
2025-10-12 21:42:19.791 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientServiceImpl.deductBalance | Duration: 3ms | Timestamp: 1760294539791
2025-10-12 21:42:19.793 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: OrderController.submitOrder | Duration: 34ms | Timestamp: 1760294539793
2025-10-12 21:42:19.799 [http-nio-8084-exec-9] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294539799
2025-10-12 21:42:19.800 [http-nio-8084-exec-9] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 1ms | Timestamp: 1760294539800
2025-10-12 21:42:19.800 [http-nio-8084-exec-9] INFO  PERFORMANCE - PERFORMANCE | Operation: OrderController.initCart | Duration: 0ms | Timestamp: 1760294539800
2025-10-12 21:42:19.802 [http-nio-8084-exec-9] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 1ms | Timestamp: 1760294539802
2025-10-12 21:42:19.806 [http-nio-8084-exec-9] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy145.findAllByClient | Duration: 4ms | Timestamp: 1760294539806
2025-10-12 21:42:19.812 [http-nio-8084-exec-9] INFO  PERFORMANCE - PERFORMANCE | Operation: OrderServiceImpl.getOrdersByClient | Duration: 11ms | Timestamp: 1760294539812
2025-10-12 21:42:19.812 [http-nio-8084-exec-9] INFO  PERFORMANCE - PERFORMANCE | Operation: OrderController.myOrders | Duration: 11ms | Timestamp: 1760294539812
2025-10-12 21:42:24.025 [http-nio-8084-exec-10] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294544025
2025-10-12 21:42:24.027 [http-nio-8084-exec-10] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 2ms | Timestamp: 1760294544027
2025-10-12 21:42:24.031 [http-nio-8084-exec-10] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy146.findAll | Duration: 3ms | Timestamp: 1760294544031
2025-10-12 21:42:24.032 [http-nio-8084-exec-10] INFO  PERFORMANCE - PERFORMANCE | Operation: BookServiceImpl.getAllBooks | Duration: 5ms | Timestamp: 1760294544032
2025-10-12 21:42:24.033 [http-nio-8084-exec-10] INFO  PERFORMANCE - PERFORMANCE | Operation: BookController.listBooks | Duration: 6ms | Timestamp: 1760294544033
2025-10-12 21:42:24.805 [http-nio-8084-exec-1] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294544805
2025-10-12 21:42:24.808 [http-nio-8084-exec-1] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 2ms | Timestamp: 1760294544808
2025-10-12 21:42:24.810 [http-nio-8084-exec-1] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy146.findByName | Duration: 1ms | Timestamp: 1760294544810
2025-10-12 21:42:24.811 [http-nio-8084-exec-1] INFO  PERFORMANCE - PERFORMANCE | Operation: BookServiceImpl.getBookByName | Duration: 2ms | Timestamp: 1760294544811
2025-10-12 21:42:24.811 [http-nio-8084-exec-1] INFO  PERFORMANCE - PERFORMANCE | Operation: BookController.viewBook | Duration: 2ms | Timestamp: 1760294544811
2025-10-12 21:42:27.186 [http-nio-8084-exec-2] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 3ms | Timestamp: 1760294547186
2025-10-12 21:42:27.189 [http-nio-8084-exec-2] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 2ms | Timestamp: 1760294547189
